dislikes,hashtags,likes,nickname,title,views
10,"polska,nbp,inflacja,pieniadze",378,PIAN--A_A--KTYWNA,Jerzy Borowczak: Raz poparłem Glapińskiego. Strasznie się wtedy pomyliłem.,3.1 tys.
0,"polityka,europa,wegry,socjalizm,gospodarka",364,Mercurius,Orbán coraz bardziej grzęźnie w centralnym planowaniu,4.3 tys.
2,"europa,ukraina,usa,wojna",339,glaaki,Senat USA przywraca Lend-Lease. Co to takiego i jak może pomóc Ukrainie,5.4 tys.
36,"polska,wroclaw",652,gregorcz83,Prośba o wykop efekt zgubiłem  dokumenty,6.5 tys.
3,"swiat,ciekawostki,technologia,srajzwykopem",427,wanghoi,Produkcja sedesów w Pakistanie,13.3 tys.
17,"polska,ekonomia,finanse,inflacja,zakupy,gospodarka",375,Szewczenko,Sondaż. Większość Polaków zaciska pasa i nie planuje prosić o podwyżkę,12.2 tys.
11,"polska,rzeszow,lotnictwo,samoloty,afera,bekazpisu",701,Szewczenko,"Rzeszów. Trzy samoloty HEAD, zła widoczność, jeden kontroler i niebezp. sytuacja",6.4 tys.
8,"polska,ekonomia,pocztapolska,poczta,kurier,pieniadze",446,Szewczenko,Poczta Polska notuje dramatyczne spadki na rynku listów i liczby klientów,8.6 tys.
12,"swiat,ukraina,rosja,wojna,ruskimir,wydarzenia",536,Szu_,"W ten sposób Ukraińcy uratowali Kijów. ""Wszyscy rozumieli tę decyzję""",6.2 tys.
48,"polska,wydarzenia,prawo,bekazpisu,neuropa",489,Szewczenko,"Chcieli aresztować Giertycha. ""Prokuratorzy mogli dopuścić się nadużycia władzy""",3.6 tys.
4,"swiat,azja,bliskiwschod,ukraina,rosja,geopolityka",284,rol-ex,'Nie nasza walka'  tak Bliski Wschód tłumaczy brak stanowiska w sprawie Ukrainy,4.7 tys.
5,"swiat,rosja,ukraina,wojna,ruskimir",415,Szewczenko,Nieznane oblicze wojny. Rosjanie okradają swoich rannych i zabitych,3.1 tys.
4,"historia,ciekawostki,ciekawostkihistoryczne,iiwojnaswiatowa,gruparatowaniapoziomu,zwiadowcahistorii",278,Zwiadowca_Historii,Kopali ziemię przy muzeum - odnaleźli wiadro ze starym sztandarem! (FILM),2.7 tys.
47,"europa,ukraina,wojna",970,hopex,Rosjanka zachęcała męża do gwałcenia Ukrainek. Żołnierz został zatrzymany,19.7 tys.
15,"swiat,ukraina,rosja,wojna,ruskimir,wydarzenia",336,Szu_,MON Ukrainy: Rosja rozważa użycie broni chemicznej i jądrowej,5.5 tys.
2,"swiat,australia,holandia,bron,ukraina,wojna",574,Szewczenko,Potężne dostawy uzbrojenia dla Ukrainy. Australia i Holandia potwierdzają,4.7 tys.
13,"swiat,ukraina,rosja,wojna,ruskimir,wydarzenia",306,Szu_,Rosjanie zniszczyli strategiczny most na Dniestrze,6 tys.
10,"podrozujzwykopem,podroze,youtube,slask,polska,polskieszlaki",270,lukasz-piernikarczyk,"Krapkowice - mało znana, ale atrakcyjna miejscowość w opolskim",5.9 tys.
2,"swiat,ukraina,rolnictwo,wojna,wydarzenia",349,Szewczenko,"""Odminowanie pól i dróg na Ukrainie zajmie nam miesiące""",3.1 tys.
9,"bekazpisu,bekaz",710,Kefirowa1,"„Dziennikarz” TVP sugeruje, że kontrolerzy lotu to agentura GRU",4 tys.
3,"wydarzeniaswiatedek,europa,swiat,geopolityka,ekonomia,ciekawostki",260,Edek_Niemiec,Krótkie streszczenie wydarzeń światowych 25.04.2022,4.9 tys.
